method_id,application_phase,throughput_mean,violations_mean,resilience_score_mean,stealth_success_rate_mean,n_cells
kernel_auction_whca_shielded,early,0.0,0.0,0.7858,0.0,2
kernel_auction_whca_shielded,full,0.0,128.5,0.6252,0.0,8
kernel_auction_whca_shielded,late,0.0,128.5,0.6252,0.0,2
llm_detector_throttle_advisor,early,0.0,0.0,0.2642,0.0,2
llm_detector_throttle_advisor,full,0.0,16341.5,0.1,0.0,8
llm_detector_throttle_advisor,late,0.0,16341.5,0.1,0.0,2
llm_local_decider_signed_bus,early,0.0,0.0,0.5,0.0,2
llm_local_decider_signed_bus,full,0.0,16200.0,0.5,0.0,8
llm_local_decider_signed_bus,late,0.0,16200.0,0.5,0.0,2
llm_repair_over_kernel_whca,early,0.0,0.0,0.5,0.0,2
llm_repair_over_kernel_whca,full,0.0,16200.0,0.5,0.0,8
llm_repair_over_kernel_whca,late,0.0,16200.0,0.5,0.0,2
